metric,mean,std,ci_lower,ci_upper,n_folds,mean_sd,mean_95ci
auc,0.7976666666666666,0.024810877625067514,0.766859893155781,0.8284734401775523,5,0.7977 (0.0248),"0.7977 [0.7669, 0.8285]"
calibration_intercept,-0.3315445389382839,0.06559452468969527,-0.4129908987247666,-0.2500981791518012,5,-0.3315 (0.0656),"-0.3315 [-0.4130, -0.2501]"
calibration_slope,1.6909483047823362,0.2854390921766475,1.3365288603466265,2.0453677492180455,5,1.6909 (0.2854),"1.6909 [1.3365, 2.0454]"
brier_score,0.17304608961843554,0.00555888981730311,0.16614381626230876,0.17994836297456232,5,0.1730 (0.0056),"0.1730 [0.1661, 0.1799]"
cvm_statistic,4.454719047619047,0.8201229369019326,3.4364019227667786,5.473036172471316,5,4.4547 (0.8201),"4.4547 [3.4364, 5.4730]"
aurga,0.7027337670851171,0.039667366502485674,0.6534802261954267,0.7519873079748076,5,0.7027 (0.0397),"0.7027 [0.6535, 0.7520]"
reference_rgr,0.9466342690650528,0.004256497122514651,0.9413491298295684,0.9519194083005371,5,0.9466 (0.0043),"0.9466 [0.9413, 0.9519]"
rgr_aggregate,0.9466342690650528,0.004256497122514651,0.9413491298295684,0.9519194083005371,5,0.9466 (0.0043),"0.9466 [0.9413, 0.9519]"
aurge,0.9682736023227279,0.0034938563755295606,0.9639354066463381,0.9726117979991176,5,0.9683 (0.0035),"0.9683 [0.9639, 0.9726]"
fairness_aggregate,0.6811014326998237,0.09266879376298003,0.5660379277273617,0.7961649376722857,5,0.6811 (0.0927),"0.6811 [0.5660, 0.7962]"
safe_score,0.8246857677931804,0.03198796077669284,0.7849674685208067,0.8644040670655541,5,0.8247 (0.0320),"0.8247 [0.7850, 0.8644]"
