dataset,fold,scenario,w_spd,w_eod,w_aod,w_dir,fairness_aggregate
German Credit,1,Equal weights,0.25,0.25,0.25,0.25,0.7644471788019293
German Credit,1,SPD priority,0.4,0.2,0.2,0.2,0.7922343858522136
German Credit,1,EOD priority,0.2,0.4,0.2,0.2,0.7515577430415434
German Credit,1,AOD priority,0.2,0.2,0.4,0.2,0.7724860130837374
German Credit,1,DIR priority,0.2,0.2,0.2,0.4,0.7415105732302227
German Credit,2,Equal weights,0.25,0.25,0.25,0.25,0.664402096065699
German Credit,2,SPD priority,0.4,0.2,0.2,0.2,0.692722975553858
German Credit,2,EOD priority,0.2,0.4,0.2,0.2,0.6615216768525594
German Credit,2,AOD priority,0.2,0.2,0.4,0.2,0.6785384835752484
German Credit,2,DIR priority,0.2,0.2,0.2,0.4,0.6248252482811307
German Credit,3,Equal weights,0.25,0.25,0.25,0.25,0.6609243697478991
German Credit,3,SPD priority,0.4,0.2,0.2,0.2,0.6951260504201681
German Credit,3,EOD priority,0.2,0.4,0.2,0.2,0.6620728291316528
German Credit,3,AOD priority,0.2,0.2,0.4,0.2,0.6754061624649861
German Credit,3,DIR priority,0.2,0.2,0.2,0.4,0.61109243697479
German Credit,4,Equal weights,0.25,0.25,0.25,0.25,0.7710873983739838
German Credit,4,SPD priority,0.4,0.2,0.2,0.2,0.7877032520325205
German Credit,4,EOD priority,0.2,0.4,0.2,0.2,0.7835365853658537
German Credit,4,AOD priority,0.2,0.2,0.4,0.2,0.783739837398374
German Credit,4,DIR priority,0.2,0.2,0.2,0.4,0.729369918699187
German Credit,5,Equal weights,0.25,0.25,0.25,0.25,0.5446461205096074
German Credit,5,SPD priority,0.4,0.2,0.2,0.2,0.5985641186299082
German Credit,5,EOD priority,0.2,0.4,0.2,0.2,0.5214311821219717
German Credit,5,AOD priority,0.2,0.2,0.4,0.2,0.5480184837092732
German Credit,5,DIR priority,0.2,0.2,0.2,0.4,0.5105706975772766
Taiwan Credit,1,Equal weights,0.25,0.25,0.25,0.25,0.9533907382463982
Taiwan Credit,1,SPD priority,0.4,0.2,0.2,0.2,0.9591051232513992
Taiwan Credit,1,EOD priority,0.2,0.4,0.2,0.2,0.9614957283633071
Taiwan Credit,1,AOD priority,0.2,0.2,0.4,0.2,0.9609259597136258
Taiwan Credit,1,DIR priority,0.2,0.2,0.2,0.4,0.9320361416572605
Taiwan Credit,2,Equal weights,0.25,0.25,0.25,0.25,0.9428945513385572
Taiwan Credit,2,SPD priority,0.4,0.2,0.2,0.2,0.9499278901798505
Taiwan Credit,2,EOD priority,0.2,0.4,0.2,0.2,0.9515696246314832
Taiwan Credit,2,AOD priority,0.2,0.2,0.4,0.2,0.9520883893222477
Taiwan Credit,2,DIR priority,0.2,0.2,0.2,0.4,0.9179923012206476
Taiwan Credit,3,Equal weights,0.25,0.25,0.25,0.25,0.9385164431439641
Taiwan Credit,3,SPD priority,0.4,0.2,0.2,0.2,0.9460600665836915
Taiwan Credit,3,EOD priority,0.2,0.4,0.2,0.2,0.9480820029664733
Taiwan Credit,3,AOD priority,0.2,0.2,0.4,0.2,0.9480053087362572
Taiwan Credit,3,DIR priority,0.2,0.2,0.2,0.4,0.9119183942894348
Taiwan Credit,4,Equal weights,0.25,0.25,0.25,0.25,0.9496672595954206
Taiwan Credit,4,SPD priority,0.4,0.2,0.2,0.2,0.9563257370616192
Taiwan Credit,4,EOD priority,0.2,0.4,0.2,0.2,0.9549871971106516
Taiwan Credit,4,AOD priority,0.2,0.2,0.4,0.2,0.9569317038196439
Taiwan Credit,4,DIR priority,0.2,0.2,0.2,0.4,0.9304244003897677
Taiwan Credit,5,Equal weights,0.25,0.25,0.25,0.25,0.9600320535420523
Taiwan Credit,5,SPD priority,0.4,0.2,0.2,0.2,0.9654989777619867
Taiwan Credit,5,EOD priority,0.2,0.4,0.2,0.2,0.9631186913959542
Taiwan Credit,5,AOD priority,0.2,0.2,0.4,0.2,0.9647249594397653
Taiwan Credit,5,DIR priority,0.2,0.2,0.2,0.4,0.9467855855705039
