dataset,scenario,mean_fairness,std_fairness,min_fairness,max_fairness,delta_vs_equal
German Credit,AOD priority,0.6916377960463238,0.09497471375508916,0.5480184837092732,0.783739837398374,0.0105363633465001
German Credit,DIR priority,0.6434737749525213,0.09493274974836463,0.5105706975772766,0.7415105732302227,-0.03762765774730237
German Credit,EOD priority,0.6760240033027162,0.1019413976687779,0.5214311821219717,0.7835365853658537,-0.005077429397107536
German Credit,Equal weights,0.6811014326998237,0.09266879376298003,0.5446461205096074,0.7710873983739838,0.0
German Credit,SPD priority,0.7132701564977337,0.08013193118518196,0.5985641186299082,0.7922343858522136,0.032168723797910026
Taiwan Credit,AOD priority,0.9565352642063079,0.006690316060872093,0.9480053087362572,0.9647249594397653,0.007635055033029414
Taiwan Credit,DIR priority,0.9278313646255227,0.013543414170684717,0.9119183942894348,0.9467855855705039,-0.021068844547755705
Taiwan Credit,EOD priority,0.955850648893574,0.00640538721098709,0.9480820029664733,0.9631186913959542,0.00695043972029552
Taiwan Credit,Equal weights,0.9489002091732784,0.00849355196217306,0.9385164431439641,0.9600320535420523,0.0
Taiwan Credit,SPD priority,0.9553835589677094,0.007644463189452177,0.9460600665836915,0.9654989777619867,0.006483349794430993
