num_removed_features,fraction_removed,removed_features,rge_curve_value
0,0.0,none,1.0
1,0.01639344262295082,checking_status_0less_than_=Xless_than_200,1.0
2,0.03278688524590164,checking_status_0less_than_=Xless_than_200; foreign_worker_yes,1.0
3,0.04918032786885246,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes,1.0
4,0.06557377049180328,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident,1.0
5,0.08196721311475409,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res,1.0
6,0.09836065573770492,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled,1.0
7,0.11475409836065574,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores,1.0
8,0.13114754098360656,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant,1.0
9,0.14754098360655737,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid,1.0
10,0.16393442622950818,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7,1.0
11,0.18032786885245902,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000,1.0
12,0.19672131147540983,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining,1.0
13,0.21311475409836064,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs,1.0
14,0.22950819672131148,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other,1.0
15,0.2459016393442623,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep,1.0
16,0.26229508196721313,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents,1.0
17,0.2786885245901639,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment,1.0
18,0.29508196721311475,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200,1.0
19,0.3114754098360656,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid,1.0
20,0.32786885245901637,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business,1.0
21,0.3442622950819672,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance,1.0
22,0.36065573770491804,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance,0.9999984189757541
23,0.3770491803278688,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500,0.9999905753188832
24,0.39344262295081966,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt,0.9999788354576494
25,0.4098360655737705,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000,0.9999633819820613
26,0.4262295081967213,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car,0.9999556567192656
27,0.4426229508196721,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid,0.9999422524593925
28,0.45901639344262296,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits,0.9999004827027873
29,0.47540983606557374,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none,0.9997992831146391
30,0.4918032786885246,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed,0.9996834934566635
31,0.5081967213114754,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no,0.9995505756281885
32,0.5245901639344263,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar,0.9993345848689622
33,0.5409836065573771,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4,0.9991731170010053
34,0.5573770491803278,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free,0.9987855733624621
35,0.5737704918032787,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since,0.9986456157495048
36,0.5901639344262295,checking_status_0less_than_=Xless_than_200; foreign_worker_yes; own_telephone_yes; job_unskilled resident; job_unemp/unskilled non res; job_skilled; other_payment_plans_stores; other_parties_co applicant; personal_status_male mar/wid; employment_>=7; savings_status_500less_than_=Xless_than_1000; purpose_retraining; purpose_repairs; purpose_other; personal_status_male div/sep; num_dependents; purpose_furniture/equipment; checking_status_>=200; credit_history_existing paid; purpose_business; purpose_domestic appliance; property_magnitude_life insurance; savings_status_100less_than_=Xless_than_500; job_high qualif/self emp/mgmt; savings_status_>=1000; property_magnitude_car; credit_history_all paid; existing_credits; own_telephone_none; employment_unemployed; foreign_worker_no; personal_status_female div/dep/mar; employment_1less_than_=Xless_than_4; housing_for free; residence_since; purpose_education,0.998277089944989
