feature,rge_similarity_after_removal,rge_importance,importance_rank_least_to_most
checking_status_0less_than_=Xless_than_200,1.0,0.0,1
foreign_worker_yes,1.0,0.0,2
own_telephone_yes,1.0,0.0,3
job_unskilled resident,1.0,0.0,4
job_unemp/unskilled non res,1.0,0.0,5
job_skilled,1.0,0.0,6
other_payment_plans_stores,1.0,0.0,7
other_parties_co applicant,1.0,0.0,8
personal_status_male mar/wid,1.0,0.0,9
employment_>=7,1.0,0.0,10
savings_status_500less_than_=Xless_than_1000,1.0,0.0,11
purpose_retraining,1.0,0.0,12
purpose_repairs,1.0,0.0,13
purpose_other,1.0,0.0,14
personal_status_male div/sep,1.0,0.0,15
num_dependents,1.0,0.0,16
purpose_furniture/equipment,1.0,0.0,17
checking_status_>=200,1.0,0.0,18
credit_history_existing paid,1.0,0.0,19
purpose_business,1.0,0.0,20
purpose_domestic appliance,1.0,0.0,21
property_magnitude_life insurance,0.9999984189757541,1.5810242458558221e-06,22
savings_status_100less_than_=Xless_than_500,0.9999921563431291,7.843656870898386e-06,23
job_high qualif/self emp/mgmt,0.999991850862693,8.149137306956433e-06,24
savings_status_>=1000,0.999987409601605,1.2590398394962676e-05,25
property_magnitude_car,0.9999869366022502,1.30633977497574e-05,26
credit_history_all paid,0.9999810932947018,1.890670529824945e-05,27
existing_credits,0.9999512276749932,4.8772325006773976e-05,28
own_telephone_none,0.9999130325400315,8.696745996850108e-05,29
employment_unemployed,0.9998748468746467,0.0001251531253533278,30
foreign_worker_no,0.9998674531297072,0.00013254687029284895,31
personal_status_female div/dep/mar,0.9998578747850844,0.0001421252149156338,32
employment_1less_than_=Xless_than_4,0.999784448220313,0.00021555177968701766,33
housing_for free,0.9997239197055354,0.0002760802944645757,34
residence_since,0.9997172186172348,0.0002827813827651626,35
purpose_education,0.9996665473845066,0.00033345261549344585,36
housing_rent,0.9996643510118124,0.000335648988187609,37
other_parties_none,0.9996200194623189,0.0003799805376810683,38
credit_history_delayed previously,0.9995393541649328,0.00046064583506721934,39
purpose_radio/tv,0.9995044586440365,0.0004955413559635247,40
housing_own,0.9992633743609346,0.0007366256390654025,41
employment_4less_than_=Xless_than_7,0.9992446880804418,0.0007553119195582436,42
credit_history_no credits/all paid,0.999138649769173,0.0008613502308270071,43
purpose_new car,0.9991148049571893,0.0008851950428107047,44
savings_status_no known savings,0.9989818123615238,0.0010181876384761646,45
personal_status_male single,0.9983168749776824,0.0016831250223175998,46
other_parties_guarantor,0.9979522176527807,0.0020477823472192513,47
age,0.9973465928176596,0.002653407182340417,48
purpose_used car,0.9972835524449987,0.0027164475550013334,49
property_magnitude_no known property,0.9967272589488362,0.003272741051163819,50
employment_less_than_1,0.9966770898412424,0.0033229101587576304,51
property_magnitude_real estate,0.9957346832591903,0.004265316740809655,52
other_payment_plans_none,0.9955195287970816,0.00448047120291839,53
installment_commitment,0.9951954190590325,0.004804580940967473,54
checking_status_less_than_0,0.9930401344050215,0.00695986559497852,55
other_payment_plans_bank,0.9922465692268625,0.007753430773137504,56
savings_status_less_than_100,0.9901925072832313,0.009807492716768729,57
credit_history_critical/other existing credit,0.9881691365363641,0.011830863463635932,58
credit_amount,0.9842879568987469,0.01571204310125307,59
duration,0.9552460696578646,0.04475393034213537,60
checking_status_no checking,0.9161721432610531,0.08382785673894688,61
