dataset,fold,scenario,w_rga,w_rgr,w_rge,w_fairness,aurga,rgr_aggregate,aurge,fairness_aggregate,safe_score,decision
German Credit,1,Equal weights,0.25,0.25,0.25,0.25,0.7160186347115872,0.9512545618365812,0.9647138793293618,0.6952208106473079,0.8318019716312095,APPROVED
German Credit,1,RGA priority,0.4,0.2,0.2,0.2,0.7160186347115872,0.9512545618365812,0.9647138793293618,0.6952208106473079,0.8086453042472851,APPROVED
German Credit,1,RGR priority,0.2,0.4,0.2,0.2,0.7160186347115872,0.9512545618365812,0.9647138793293618,0.6952208106473079,0.855692489672284,APPROVED
German Credit,1,RGE priority,0.2,0.2,0.4,0.2,0.7160186347115872,0.9512545618365812,0.9647138793293618,0.6952208106473079,0.85838435317084,APPROVED
German Credit,1,Fairness priority,0.2,0.2,0.2,0.4,0.7160186347115872,0.9512545618365812,0.9647138793293618,0.6952208106473079,0.8044857394344292,APPROVED
German Credit,2,Equal weights,0.25,0.25,0.25,0.25,0.7024131506803388,0.9384522304779672,0.9709383821818522,0.6120472582972584,0.8059627554093541,APPROVED
German Credit,2,RGA priority,0.4,0.2,0.2,0.2,0.7024131506803388,0.9384522304779672,0.9709383821818522,0.6120472582972584,0.7852528344635512,APPROVED
German Credit,2,RGR priority,0.2,0.4,0.2,0.2,0.7024131506803388,0.9384522304779672,0.9709383821818522,0.6120472582972584,0.8324606504230769,APPROVED
German Credit,2,RGE priority,0.2,0.2,0.4,0.2,0.7024131506803388,0.9384522304779672,0.9709383821818522,0.6120472582972584,0.8389578807638539,APPROVED
German Credit,2,Fairness priority,0.2,0.2,0.2,0.4,0.7024131506803388,0.9384522304779672,0.9709383821818522,0.6120472582972584,0.767179655986935,APPROVED
German Credit,3,Equal weights,0.25,0.25,0.25,0.25,0.7612413975018963,0.9468224589209584,0.9655201749516792,0.602966660875774,0.819137673062577,APPROVED
German Credit,3,RGA priority,0.4,0.2,0.2,0.2,0.7612413975018963,0.9468224589209584,0.9655201749516792,0.602966660875774,0.8075584179504408,APPROVED
German Credit,3,RGR priority,0.2,0.4,0.2,0.2,0.7612413975018963,0.9468224589209584,0.9655201749516792,0.602966660875774,0.8446746302342533,APPROVED
German Credit,3,RGE priority,0.2,0.2,0.4,0.2,0.7612413975018963,0.9468224589209584,0.9655201749516792,0.602966660875774,0.8484141734403975,APPROVED
German Credit,3,Fairness priority,0.2,0.2,0.2,0.4,0.7612413975018963,0.9468224589209584,0.9655201749516792,0.602966660875774,0.7759034706252164,APPROVED
German Credit,4,Equal weights,0.25,0.25,0.25,0.25,0.7271579936013561,0.945856746227566,0.9690043184341042,0.7351117886178862,0.8442827117202281,APPROVED
German Credit,4,RGA priority,0.4,0.2,0.2,0.2,0.7271579936013561,0.945856746227566,0.9690043184341042,0.7351117886178862,0.8208577680964537,APPROVED
German Credit,4,RGR priority,0.2,0.4,0.2,0.2,0.7271579936013561,0.945856746227566,0.9690043184341042,0.7351117886178862,0.8645975186216956,APPROVED
German Credit,4,RGE priority,0.2,0.2,0.4,0.2,0.7271579936013561,0.945856746227566,0.9690043184341042,0.7351117886178862,0.8692270330630034,APPROVED
