feature,rge_similarity_after_removal,rge_importance,importance_rank_least_to_most,mean_abs_shap,shap_method,model,rge_rank,shap_rank
checking_status_no checking,0.962998958741668,0.037001041258332035,61,0.07964674268788045,kernel_explainer,Voting Ensemble,1.0,1.0
duration,0.9768221930799086,0.023177806920091415,60,0.03913534783679537,kernel_explainer,Voting Ensemble,2.0,2.0
credit_amount,0.9827390777401027,0.017260922259897282,59,0.02993047309191668,kernel_explainer,Voting Ensemble,3.0,5.0
credit_history_critical/other existing credit,0.988129471074556,0.011870528925444046,58,0.03806562037396683,kernel_explainer,Voting Ensemble,4.0,3.0
savings_status_less_than_100,0.9901467550468082,0.009853244953191842,57,0.03001110638512968,kernel_explainer,Voting Ensemble,5.0,4.0
checking_status_less_than_0,0.9908261901476799,0.00917380985232008,56,0.02665268599158593,kernel_explainer,Voting Ensemble,6.0,6.0
installment_commitment,0.9939547973622707,0.006045202637729341,55,0.023961501534152208,kernel_explainer,Voting Ensemble,7.0,7.0
age,0.9949055971268377,0.005094402873162318,54,0.008891724047673508,kernel_explainer,Voting Ensemble,8.0,17.0
other_payment_plans_none,0.9960823268031687,0.003917673196831339,53,0.010951267095409419,kernel_explainer,Voting Ensemble,9.0,12.0
property_magnitude_real estate,0.9961597039030957,0.003840296096904283,52,0.011732865046465224,kernel_explainer,Voting Ensemble,10.0,10.0
purpose_used car,0.9962917070329748,0.0037082929670252396,51,0.009824797195016367,kernel_explainer,Voting Ensemble,11.0,14.0
other_payment_plans_bank,0.9963285127529704,0.0036714872470295923,50,0.009191451254585974,kernel_explainer,Voting Ensemble,12.0,16.0
personal_status_male single,0.9964991725695088,0.0035008274304911824,49,0.014211751516717467,kernel_explainer,Voting Ensemble,13.0,9.0
purpose_new car,0.9973249056591311,0.0026750943408688777,48,0.01102557955499367,kernel_explainer,Voting Ensemble,14.0,11.0
property_magnitude_no known property,0.9973265228958308,0.0026734771041692085,47,0.016407609338597015,kernel_explainer,Voting Ensemble,15.0,8.0
employment_less_than_1,0.9973782365317927,0.0026217634682073054,46,0.009810894628189659,kernel_explainer,Voting Ensemble,16.0,15.0
employment_4less_than_=Xless_than_7,0.9973943525806125,0.0026056474193875134,45,0.008415192416059168,kernel_explainer,Voting Ensemble,17.0,19.0
other_parties_guarantor,0.9974113384191345,0.002588661580865459,44,0.0062846922966251365,kernel_explainer,Voting Ensemble,18.0,22.0
purpose_education,0.9984348988418357,0.0015651011581643282,43,0.006467099285513289,kernel_explainer,Voting Ensemble,19.0,20.0
credit_history_no credits/all paid,0.9986407525839226,0.0013592474160774026,42,0.0063100929822773955,kernel_explainer,Voting Ensemble,20.0,21.0
purpose_radio/tv,0.9987073820659712,0.0012926179340287947,41,0.010265268389670732,kernel_explainer,Voting Ensemble,21.0,13.0
savings_status_no known savings,0.9987483726910115,0.0012516273089885344,40,0.008470402403579809,kernel_explainer,Voting Ensemble,22.0,18.0
housing_rent,0.9988685966008325,0.0011314033991675077,39,0.006091465305729103,kernel_explainer,Voting Ensemble,23.0,23.0
housing_own,0.9989423378998834,0.0010576621001165964,38,0.006036290511300929,kernel_explainer,Voting Ensemble,24.0,25.0
checking_status_0less_than_=Xless_than_200,0.9990254530006062,0.0009745469993938105,37,0.006077803652902983,kernel_explainer,Voting Ensemble,25.0,24.0
savings_status_>=1000,0.9990323381084315,0.0009676618915684942,36,0.004877149080576402,kernel_explainer,Voting Ensemble,26.0,28.0
own_telephone_none,0.9991520996867758,0.0008479003132242369,35,0.005627997122530966,kernel_explainer,Voting Ensemble,27.0,26.0
other_parties_none,0.9992670579234266,0.000732942076573373,34,0.0017946096039731909,kernel_explainer,Voting Ensemble,28.0,47.0
job_skilled,0.9992998241274206,0.0007001758725794227,33,0.0020872434047221338,kernel_explainer,Voting Ensemble,29.0,43.0
housing_for free,0.9993611617332544,0.0006388382667456005,32,0.004070837227017916,kernel_explainer,Voting Ensemble,30.0,32.0
personal_status_female div/dep/mar,0.9993940004866407,0.0006059995133592677,31,0.002837396834645754,kernel_explainer,Voting Ensemble,31.0,34.0
foreign_worker_yes,0.9994031000937772,0.0005968999062228031,30,0.0012380772551247702,kernel_explainer,Voting Ensemble,32.0,56.0
existing_credits,0.9994254138259329,0.0005745861740671376,29,0.005503357963341036,kernel_explainer,Voting Ensemble,33.0,27.0
num_dependents,0.9994588173305052,0.0005411826694947663,28,0.00470418167293076,kernel_explainer,Voting Ensemble,34.0,29.0
residence_since,0.9994603568935754,0.0005396431064246254,27,0.0014113254625373092,kernel_explainer,Voting Ensemble,35.0,54.0
foreign_worker_no,0.9994943142576036,0.0005056857423964001,26,0.0018266425474819453,kernel_explainer,Voting Ensemble,36.0,46.0
employment_unemployed,0.9995279891063124,0.0004720108936876466,25,0.00408157501861583,kernel_explainer,Voting Ensemble,37.0,31.0
employment_1less_than_=Xless_than_4,0.9995286234814622,0.0004713765185377916,24,0.002213693450219604,kernel_explainer,Voting Ensemble,38.0,40.0
credit_history_existing paid,0.999574806999288,0.0004251930007119764,23,0.0017228584076961987,kernel_explainer,Voting Ensemble,39.0,48.0
savings_status_100less_than_=Xless_than_500,0.9995756437548713,0.00042435624512870973,22,0.001936232285430617,kernel_explainer,Voting Ensemble,40.0,45.0
own_telephone_yes,0.999711426483549,0.00028857351645095175,21,0.004189678296012623,kernel_explainer,Voting Ensemble,41.0,30.0
personal_status_male div/sep,0.9997200475537548,0.0002799524462452352,20,0.0005727164504716533,kernel_explainer,Voting Ensemble,42.0,58.0
purpose_repairs,0.9997358832443891,0.0002641167556108881,19,0.0004925149339529527,kernel_explainer,Voting Ensemble,43.0,59.0
credit_history_delayed previously,0.9997437348999697,0.0002562651000302951,18,0.0016908204337351806,kernel_explainer,Voting Ensemble,44.0,50.0
job_high qualif/self emp/mgmt,0.9997438005303858,0.0002561994696141934,17,0.0022085828799079453,kernel_explainer,Voting Ensemble,45.0,41.0
property_magnitude_life insurance,0.9997879106965601,0.00021208930343985521,16,0.002859092519587438,kernel_explainer,Voting Ensemble,46.0,33.0
property_magnitude_car,0.9997914456100075,0.00020855438999245468,15,0.0025139670338166246,kernel_explainer,Voting Ensemble,47.0,36.0
purpose_furniture/equipment,0.9997951488859461,0.00020485111405388334,14,0.0016041225488544056,kernel_explainer,Voting Ensemble,48.0,52.0
checking_status_>=200,0.9998223403462113,0.00017765965378868653,13,0.0020043484856279025,kernel_explainer,Voting Ensemble,49.0,44.0
employment_>=7,0.9998429868643675,0.00015701313563254438,12,0.0024587717028797776,kernel_explainer,Voting Ensemble,50.0,37.0
purpose_other,0.9998738980487597,0.00012610195124029833,11,0.00041409934276552963,kernel_explainer,Voting Ensemble,51.0,60.0
job_unskilled resident,0.999879583776074,0.00012041622392600093,10,0.002299600322113138,kernel_explainer,Voting Ensemble,52.0,38.0
credit_history_all paid,0.9998877022064944,0.00011229779350563351,9,0.0008251255879023014,kernel_explainer,Voting Ensemble,53.0,57.0
other_parties_co applicant,0.9998904307963423,0.00010956920365767786,8,0.002229086469488998,kernel_explainer,Voting Ensemble,54.0,39.0
purpose_business,0.9999281130879712,7.18869120287513e-05,7,0.0016156118185909675,kernel_explainer,Voting Ensemble,55.0,51.0
job_unemp/unskilled non res,0.9999663562781195,3.3643721880527444e-05,6,0.002101462547075354,kernel_explainer,Voting Ensemble,56.0,42.0
purpose_retraining,0.9999668327598817,3.316724011825922e-05,5,0.0015072529543510172,kernel_explainer,Voting Ensemble,57.0,53.0
other_payment_plans_stores,0.9999745807798451,2.5419220154865307e-05,4,0.0013236436360034376,kernel_explainer,Voting Ensemble,58.0,55.0
personal_status_male mar/wid,0.9999865407834962,1.3459216503752813e-05,3,0.0017013159886632113,kernel_explainer,Voting Ensemble,59.0,49.0
savings_status_500less_than_=Xless_than_1000,0.9999947850471521,5.214952847887311e-06,2,0.002660338699921428,kernel_explainer,Voting Ensemble,60.0,35.0
purpose_domestic appliance,1.0,0.0,1,0.0,kernel_explainer,Voting Ensemble,61.0,61.0
duration,0.954649037853328,0.045350962146672,61,0.3702986240386963,xgboost_treeshap,XGBoost,1.0,2.0
checking_status_no checking,0.9547223072763993,0.045277692723600715,60,0.5574975609779358,xgboost_treeshap,XGBoost,2.0,1.0
credit_amount,0.976896067193146,0.023103932806853966,59,0.25217849016189575,xgboost_treeshap,XGBoost,3.0,3.0
savings_status_less_than_100,0.979150863956293,0.020849136043706973,58,0.1808338165283203,xgboost_treeshap,XGBoost,4.0,5.0
credit_history_critical/other existing credit,0.9885427064647924,0.011457293535207635,57,0.22341857850551605,xgboost_treeshap,XGBoost,5.0,4.0
checking_status_less_than_0,0.9900925056959838,0.009907494304016162,56,0.15671341121196747,xgboost_treeshap,XGBoost,6.0,6.0
age,0.9902185862445585,0.009781413755441504,55,0.12131058424711227,xgboost_treeshap,XGBoost,7.0,7.0
property_magnitude_real estate,0.9923308926777022,0.007669107322297752,54,0.1006762757897377,xgboost_treeshap,XGBoost,8.0,9.0
other_payment_plans_bank,0.9929427253692825,0.0070572746307174805,53,0.08385157585144043,xgboost_treeshap,XGBoost,9.0,12.0
installment_commitment,0.9937339771004897,0.006266022899510282,52,0.11439292132854462,xgboost_treeshap,XGBoost,10.0,8.0
purpose_used car,0.9960776792436833,0.003922320756316711,51,0.08193085342645645,xgboost_treeshap,XGBoost,11.0,14.0
other_payment_plans_none,0.9962742824884901,0.0037257175115098518,50,0.083132803440094,xgboost_treeshap,XGBoost,12.0,13.0
